pass	object	ctx	ttft_s	decode_tok_s	out	peak_mem_mb	hit	miss	response_chars	elapsed_s
1	Airplane	75	0.36	42.0	53	25756	False	prefix_divergence_at_token	275	1.6
2	AIFollower	1096	1.06	42.6	57	25756	True		271	2.4
3	Airport	2118	1.07	44.4	31	25756	True		161	1.8
4	Balloons	3115	1.14	38.4	32	25756	True		136	2.0
5	Birds	4112	1.21	44.4	36	25756	True		168	2.0
6	Bridges	5113	1.31	40.3	35	25756	True		178	2.2
7	Building	6114	1.25	44.5	29	25990	True		152	1.9
8	Car	7104	1.26	42.5	30	26396	True		151	2.0
9	Castle	8095	1.29	43.2	31	26819	True		156	2.0
10	Checkpoints	9091	1.32	36.0	29	27272	True		138	2.1
11	City	10082	1.38	41.0	26	27831	True		126	2.0
12	Clouds	11070	1.35	41.2	33	28415	True		158	2.2
13	Coins	12065	1.39	48.8	27	29086	True		128	2.0
14	ControlTower	13055	1.41	39.6	31	29790	True		139	2.2
15	Drone	14048	1.47	30.6	29	30563	True		158	2.5
16	ExplosionEffect	15044	1.53	47.9	23	31411	True		117	2.0
17	Fence	16030	1.57	35.6	32	32287	True		148	2.5
18	Fireworks	17025	1.60	55.4	23	33246	True		117	2.1
19	Helicopter	18011	1.63	39.4	25	34262	True		130	2.3
20	Highway	19001	1.65	46.8	32	35321	True		148	2.4
21	Hills	19994	1.66	37.5	19	36456	True		106	2.2
22	HotAirBalloon	20977	1.67	39.0	28	36615	True		141	2.4
23	House	21969	1.67	45.3	23	36784	True		117	2.2
24	Lighthouse	22952	1.60	45.6	28	36784	True		132	2.3
25	Mountains	23942	1.67	42.9	28	36784	True		130	2.4
26	Pine	24931	1.69	36.4	24	36784	True		125	2.4
27	PowerLines	25918	1.71	31.2	30	37164	True		145	2.7
28	Rain	26911	1.72	48.7	27	37164	True		137	2.3
29	Refinery	27899	1.73	34.4	28	37164	True		159	2.6
30	River	28891	1.77	34.8	23	37164	True		112	2.5
31	Road	29874	1.74	29.1	28	37552	True		136	2.8
32	RoadCones	30865	1.79	39.8	28	37552	True		124	2.6
33	Rocks	31855	1.85	31.6	21	37552	True		104	2.6
34	Runway	32838	1.81	30.2	23	37905	True		109	2.6
35	Sky	33822	1.89	25.2	28	37905	True		126	3.1
36	Stadium	34813	1.87	38.3	26	37905	True		125	2.6
37	Streetlights	35801	1.90	36.3	26	37905	True		129	2.7
38	Tank	36787	1.83	28.5	22	38316	True		130	2.7
39	Trains	37769	1.83	37.2	24	38316	True		118	2.6
40	Trees	38756	1.87	36.8	31	38316	True		154	2.8
